putanja_slike,labela
..\input\undersampling\nepravilno_brada\mask_brada_0.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_1.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_2.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_3.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_4.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_5.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_6.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_7.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_8.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_9.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_10.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_11.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_12.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_13.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_14.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_15.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_16.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_17.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_18.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_19.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_20.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_21.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_22.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_23.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_24.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_25.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_26.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_27.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_28.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_29.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_30.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_31.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_32.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_33.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_34.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_35.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_36.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_37.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_38.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_39.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_40.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_41.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_42.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_43.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_44.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_45.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_46.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_47.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_48.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_49.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_50.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_51.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_52.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_53.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_54.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_55.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_56.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_57.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_58.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_59.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_60.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_61.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_62.jpg,3
..\input\undersampling\nepravilno_brada\mask_brada_63.jpg,3
