putanja_slike,labela
..\input\skalirane\nepravilno_nos\mask_nos_0.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_1.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_2.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_3.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_4.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_5.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_6.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_7.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_8.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_9.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_10.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_11.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_12.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_13.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_14.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_15.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_16.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_17.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_18.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_19.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_20.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_21.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_22.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_23.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_24.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_25.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_26.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_27.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_28.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_29.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_30.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_31.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_32.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_33.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_34.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_35.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_36.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_37.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_38.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_39.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_40.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_41.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_42.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_43.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_44.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_45.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_46.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_47.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_48.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_49.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_50.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_51.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_52.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_53.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_54.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_55.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_56.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_57.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_58.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_59.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_60.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_61.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_62.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_63.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_64.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_65.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_66.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_67.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_68.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_69.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_70.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_71.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_72.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_73.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_74.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_75.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_76.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_77.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_78.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_79.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_80.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_81.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_82.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_83.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_84.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_85.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_86.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_87.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_88.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_89.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_90.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_91.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_92.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_93.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_94.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_95.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_96.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_97.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_98.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_99.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_100.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_101.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_102.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_103.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_104.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_105.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_106.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_107.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_108.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_109.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_110.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_111.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_112.jpg,1
..\input\skalirane\nepravilno_nos\mask_nos_113.jpg,1
