putanja_slike,labela
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_0.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_1.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_2.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_3.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_4.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_5.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_6.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_7.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_8.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_9.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_10.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_11.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_12.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_13.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_14.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_15.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_16.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_17.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_18.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_19.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_20.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_21.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_22.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_23.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_24.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_25.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_26.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_27.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_28.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_29.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_30.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_31.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_32.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_33.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_34.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_35.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_36.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_37.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_38.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_39.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_40.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_41.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_42.jpg,2
..\input\skalirane\nepravilno_nos_usta\mask_nos_usta_43.jpg,2
