putanja_slike,labela
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_0.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_1.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_2.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_3.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_4.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_5.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_6.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_7.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_8.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_9.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_10.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_11.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_12.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_13.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_14.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_15.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_16.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_17.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_18.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_19.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_20.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_21.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_22.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_23.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_24.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_25.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_26.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_27.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_28.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_29.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_30.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_31.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_32.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_33.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_34.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_35.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_36.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_37.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_38.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_39.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_40.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_41.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_42.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_43.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_44.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_45.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_46.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_47.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_48.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_49.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_50.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_51.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_52.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_53.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_54.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_55.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_56.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_57.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_58.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_59.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_60.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_61.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_62.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_63.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_64.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_65.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_66.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_67.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_68.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_69.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_70.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_71.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_72.jpg,2
..\input\undersampling\nepravilno_nos_usta\mask_nos_usta_73.jpg,2
