putanja_slike,labela
..\input\skalirane\pravilno\mask_0.jpg,0
..\input\skalirane\pravilno\mask_1.jpg,0
..\input\skalirane\pravilno\mask_2.jpg,0
..\input\skalirane\pravilno\mask_3.jpg,0
..\input\skalirane\pravilno\mask_4.jpg,0
..\input\skalirane\pravilno\mask_5.jpg,0
..\input\skalirane\pravilno\mask_6.jpg,0
..\input\skalirane\pravilno\mask_7.jpg,0
..\input\skalirane\pravilno\mask_8.jpg,0
..\input\skalirane\pravilno\mask_9.jpg,0
..\input\skalirane\pravilno\mask_10.jpg,0
..\input\skalirane\pravilno\mask_11.jpg,0
..\input\skalirane\pravilno\mask_12.jpg,0
..\input\skalirane\pravilno\mask_13.jpg,0
..\input\skalirane\pravilno\mask_14.jpg,0
..\input\skalirane\pravilno\mask_15.jpg,0
..\input\skalirane\pravilno\mask_16.jpg,0
..\input\skalirane\pravilno\mask_17.jpg,0
..\input\skalirane\pravilno\mask_18.jpg,0
..\input\skalirane\pravilno\mask_19.jpg,0
..\input\skalirane\pravilno\mask_20.jpg,0
..\input\skalirane\pravilno\mask_21.jpg,0
..\input\skalirane\pravilno\mask_22.jpg,0
..\input\skalirane\pravilno\mask_23.jpg,0
..\input\skalirane\pravilno\mask_24.jpg,0
..\input\skalirane\pravilno\mask_25.jpg,0
..\input\skalirane\pravilno\mask_26.jpg,0
..\input\skalirane\pravilno\mask_27.jpg,0
..\input\skalirane\pravilno\mask_28.jpg,0
..\input\skalirane\pravilno\mask_29.jpg,0
..\input\skalirane\pravilno\mask_30.jpg,0
..\input\skalirane\pravilno\mask_31.jpg,0
..\input\skalirane\pravilno\mask_32.jpg,0
..\input\skalirane\pravilno\mask_33.jpg,0
..\input\skalirane\pravilno\mask_34.jpg,0
..\input\skalirane\pravilno\mask_35.jpg,0
..\input\skalirane\pravilno\mask_36.jpg,0
..\input\skalirane\pravilno\mask_37.jpg,0
..\input\skalirane\pravilno\mask_38.jpg,0
..\input\skalirane\pravilno\mask_39.jpg,0
..\input\skalirane\pravilno\mask_40.jpg,0
..\input\skalirane\pravilno\mask_41.jpg,0
..\input\skalirane\pravilno\mask_42.jpg,0
..\input\skalirane\pravilno\mask_43.jpg,0
..\input\skalirane\pravilno\mask_44.jpg,0
..\input\skalirane\pravilno\mask_45.jpg,0
..\input\skalirane\pravilno\mask_46.jpg,0
..\input\skalirane\pravilno\mask_47.jpg,0
..\input\skalirane\pravilno\mask_48.jpg,0
..\input\skalirane\pravilno\mask_49.jpg,0
..\input\skalirane\pravilno\mask_50.jpg,0
..\input\skalirane\pravilno\mask_51.jpg,0
..\input\skalirane\pravilno\mask_52.jpg,0
..\input\skalirane\pravilno\mask_53.jpg,0
..\input\skalirane\pravilno\mask_54.jpg,0
..\input\skalirane\pravilno\mask_55.jpg,0
..\input\skalirane\pravilno\mask_56.jpg,0
..\input\skalirane\pravilno\mask_57.jpg,0
..\input\skalirane\pravilno\mask_58.jpg,0
..\input\skalirane\pravilno\mask_59.jpg,0
..\input\skalirane\pravilno\mask_60.jpg,0
..\input\skalirane\pravilno\mask_61.jpg,0
..\input\skalirane\pravilno\mask_62.jpg,0
..\input\skalirane\pravilno\mask_63.jpg,0
..\input\skalirane\pravilno\mask_64.jpg,0
..\input\skalirane\pravilno\mask_65.jpg,0
..\input\skalirane\pravilno\mask_66.jpg,0
..\input\skalirane\pravilno\mask_67.jpg,0
..\input\skalirane\pravilno\mask_68.jpg,0
..\input\skalirane\pravilno\mask_69.jpg,0
..\input\skalirane\pravilno\mask_70.jpg,0
..\input\skalirane\pravilno\mask_71.jpg,0
..\input\skalirane\pravilno\mask_72.jpg,0
..\input\skalirane\pravilno\mask_73.jpg,0
..\input\skalirane\pravilno\mask_74.jpg,0
..\input\skalirane\pravilno\mask_75.jpg,0
